Pattern_ID,Pattern_Name,Description,Use_Case,Cloud_Provider,Services_Involved,Complexity,Data_Flow,Reference_Diagram,Suitability,Considerations
PAT-001,RAG with Enterprise Search,"Retrieval-Augmented Generation over enterprise corpus using vector search","Internal knowledge base Q&A",GCP,"Vertex AI Search, Gemini, Cloud Functions, BigQuery",Medium,"User query → Embed query → Similarity search → Context injection → LLM generation → Response",https://cloud.google.com/architecture/rag-capable-gen-ai-app-using-vertex-ai,Document >100k docs,Response <5s,Need document access indexing
PAT-002,RAG on AWS with Bedrock,"RAG pipeline using Knowledge Bases for Bedrock with OpenSearch","Enterprise Q&A over Confluence/SharePoint",AWS,"Bedrock, OpenSearch Serverless, Lambda, S3, Kendra",Medium,"User query → Embed → OpenSearch vector query → Context assembly → Bedrock invoke → Response",https://aws.amazon.com/blogs/machine-learning/build-a-context-aware-knowledge-base/,500k+ docs,Sensitive data,Kendra PII + IAM fine-grained access
PAT-003,Realtime ML Prediction,"Online prediction with auto-scaling endpoints for fraud detection",Fraud detection real-time,GCP,"Vertex AI Prediction, Cloud Run, Pub/Sub, BigQuery",High,"Transaction → Pub/Sub → Cloud Run validation → Vertex Prediction → Score > Threshold → Alert",https://cloud.google.com/architecture/machine-learning-pipeline,Region EU/US <100ms p99,Model offline: fallback to rule engine
PAT-004,SageMaker Online Inference,"SageMaker real-time endpoint with A/B testing","Real-time recommendation engine",AWS,"SageMaker, API Gateway, CloudWatch, Lambda High",High,"User event → API Gateway → Lambda auth → SageMaker endpoint → Prediction → DynamoDB cache",https://docs.aws.amazon.com/sagemaker/latest/dg/multi-model-endpoints.html,High traffic (QPS >1000),Shadow testing for new models
PAT-005,Vertex AI Pipelines MLOps,"End-to-end MLOps with Kubeflow Pipelines on Vertex AI","ML model lifecycle management",GCP,"Vertex AI Pipelines, Cloud Build, Artifact Registry, Cloud Monitoring",High,"Trigger → Data validation → Training → Evaluation → Model Registry → Deploy → Monitor",https://cloud.google.com/architecture/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning on GCP,Production ML >10 models,Golden paths enforced
PAT-006,SageMaker Pipelines MLOps,"CI/CD for ML using SageMaker Pipelines and Model Registry","Automated ML retraining",AWS,"SageMaker Pipelines, CodePipeline, ECR, CloudWatch",High,"Data drift → Pipeline trigger → Training → Condition check → Registry → Deploy → Monitor",https://docs.aws.amazon.com/sagemaker/latest/sagemaker/pipelines.html,Production-scale ML,Use IaC for pipeline definitions
PAT-007,GenAI Agent with Guardrails,"Conversational AI agent with safety guardrails and conversation guard","Customer support chatbot",GCP,"Dialogflow CX, Vertex AI Gemini, Cloud Functions, Firestore, Model Armor",Medium,"User input → Model Armor safety check → Dialogflow intent → Gemini generation → Output filter → Response",https://cloud.google.com/dialogflow/cx/docs/concept/high,Customer facing,Defined escalation to human
PAT-008,Bedrock Agent with Action Groups,"Bedrock agent orchestrating multi-step workflows","IT support assistant",AWS,"Bedrock Agent, Lambda, DynamoDB, S3",High,"User query → Bedrock Agent → Intent resolution → Action Group (Lambda) → Backend API → Response round",https://docs.aws.amazon.com/bedrock/latest/userguide/agents.html,Multi-step reasoning >3 turns,S3/KMS encryption
PAT-009,Data Drift-Driven Retraining,"Automated retraining triggered by data/feature drift detection","Continuous model improvement",GCP,"Vertex AI Model Monitoring, Pub/Sub, Cloud Composer, Vertex AI Training",High,"Model monitoring → Drift detected → Pub/Sub event → Composer DAG → Retraining → Validation → Deploy",https://cloud.google.com/architecture/monitoring-feature-drift-and-explanation-attacks,Non-stationary data,Approval gate for production
PAT-010,Multi-Region AI Inference,"Active-active AI inference across multiple regions","Global customer-facing app",GCP,"Global HTTP(S) LB, Vertex AI Prediction, Cloud CDN, Datastore",High,"User request → Global LB (closest region) → Vertex Prediction → Response → Async replicate to Other Region",https://cloud.google.com/load-balancing/docs/https/global-forwarding-rule-concepts,Global users <200ms p99 GDPR data residency
PAT-011,EU-Compliant AI Workload,"AI workload with full EU data residency and access controls","GDPR-sensitive AI workload",GCP,"VPC-SC, CMEK, Assured Workloads (EU), Cloud Audit Logs, Org Policies",Medium,"All traffic → VPC-SC perimeter → EU-only resources → CMEK encryption → Audit logs → Org policies deny",https://cloud.google.com/architecture/designing-gdpr-compliant-workloads,Any EU PII/PHI,Business Associate Agreements signed
PAT-012,Hybrid AI + Legacy Integration,"AI services integrated with on-premise and legacy middleware","ERP enrichment with LLM summarization",GCP,"Cloud Interconnect, Vertex AI, Apigee, Cloud Run, JBoss/IBM WAS on GKE",High,"ERP on-prem → Interconnect → Cloud Run normalization → Vertex AI → Apigee proxy → Back to ERP",https://cloud.google.com/architecture/hybrid-and-multi-cloud-patterns,Gaps in middleware stack,Use Apigee for API facade
